Gene Size,Cell Size,Percent,Peak Memory Usage
500,30000,10.0,230.96547603607178
500,30000,30.0,252.49530220031738
500,30000,5.0,209.32789516448975
500,40000,0.1,294.8583974838257
500,40000,0.5,286.6057481765747
500,40000,1.0,291.0957899093628
500,40000,10.0,300.0908784866333
500,40000,30.0,334.97176361083984
500,40000,5.0,292.90730476379395
500,50000,0.1,390.5202283859253
500,50000,0.5,371.25289154052734
500,50000,1.0,374.6270980834961
500,50000,10.0,388.23899841308594
500,50000,30.0,426.5202531814575
500,50000,5.0,376.9347724914551
1000,60000,0.1,823.725152015686
1000,60000,0.5,864.4179515838623
1000,60000,1.0,805.1967830657959
1000,60000,10.0,929.4186992645264
1000,60000,30.0,1004.9115905761719
1000,60000,5.0,913.0936431884766
2000,60000,0.1,1629.3826150894165
2000,60000,0.5,1757.4524087905884
2000,60000,1.0,1644.421877861023
2000,60000,10.0,1809.0265378952026
2000,60000,30.0,2009.8670806884766
2000,60000,5.0,1703.6168270111084
3000,50000,1.0,2105.104016304016
3000,50000,10.0,2289.8349475860596
3000,50000,30.0,2512.297317504883
3000,50000,5.0,2224.3440504074097
3000,60000,0.1,2479.8722352981567
3000,60000,0.5,2483.632173538208
3000,60000,1.0,2478.2353382110596
3000,60000,10.0,2617.9851274490356
3000,60000,30.0,3029.2140417099
3000,60000,5.0,2580.5939168930054
5000,50000,0.1,3501.5993967056274
5000,50000,0.5,3519.551125526428
5000,50000,1.0,3492.649272918701
5000,50000,10.0,3685.6997327804565
5000,50000,30.0,4224.797756195068
5000,50000,5.0,3573.450740814209
500,60000,0.1,439.67913818359375
500,60000,0.5,429.9935665130615
500,60000,1.0,415.19307804107666
500,60000,10.0,442.0823669433594
500,60000,30.0,502.46173095703125
500,60000,5.0,396.1959056854248
5000,60000,0.1,4274.191863059998
5000,60000,0.5,4223.980401992798
5000,60000,1.0,4264.392592430115
5000,60000,10.0,4453.282322883606
5000,60000,30.0,5024.654609680176
5000,60000,5.0,4318.4069356918335
10000,20000,0.1,2898.5437183380127
10000,20000,0.5,2838.4588098526
10000,20000,1.0,2818.7292280197144
10000,20000,10.0,2964.295859336853
10000,20000,30.0,3349.7497634887695
10000,20000,5.0,2841.998839378357
20000,20000,0.1,5753.325192451477
20000,20000,0.5,5686.107459068298
20000,20000,1.0,5691.546324729919
20000,20000,5.0,5682.429060935974
7500,20000,0.1,2168.0654315948486
7500,20000,0.5,2136.6956129074097
7500,20000,1.0,2120.1116189956665
7500,20000,10.0,2232.5114965438843
7500,20000,30.0,2512.297317504883
7500,20000,5.0,2136.232008934021
