Gene Size,Cell Size,Percent,Time
1000,20000,0.1,5.444364547729492
1000,20000,0.5,5.2639219760894775
1000,20000,1.0,5.360827684402466
1000,20000,10.0,6.8028693199157715
1000,20000,30.0,12.80053162574768
1000,20000,5.0,5.856870651245117
1000,30000,0.1,7.878495216369629
1000,30000,0.5,7.862319231033325
1000,30000,1.0,8.217517852783203
1000,30000,10.0,10.181357383728027
1000,30000,30.0,19.33243155479431
1000,30000,5.0,8.927252531051636
1000,40000,0.1,9.936272621154785
1000,40000,0.5,10.45996618270874
1000,40000,1.0,10.651147842407227
1000,40000,10.0,13.192357063293457
1000,40000,30.0,25.808439016342163
1000,40000,5.0,12.074341297149658
1000,50000,0.1,12.463759660720825
1000,50000,0.5,12.409246444702148
1000,50000,1.0,13.72268295288086
1000,50000,10.0,16.284809827804565
1000,50000,30.0,32.64522123336792
1000,50000,5.0,14.587039709091187
2000,20000,0.1,9.855419874191284
2000,20000,0.5,10.045752048492432
2000,20000,1.0,10.251481294631958
2000,20000,10.0,12.836054801940918
2000,20000,30.0,25.336119890213013
2000,20000,5.0,11.411972045898438
2000,30000,0.1,15.329222917556763
2000,30000,0.5,15.637187719345093
2000,30000,1.0,15.094619512557983
2000,30000,10.0,20.089526176452637
2000,30000,30.0,39.04793334007263
2000,30000,5.0,17.935961723327637
2000,40000,0.1,20.053579092025757
2000,40000,0.5,20.770306825637817
2000,40000,1.0,21.02379584312439
2000,40000,10.0,27.16181492805481
2000,40000,30.0,52.97130823135376
2000,40000,5.0,24.14476752281189
2000,50000,0.1,24.89930486679077
2000,50000,0.5,25.027400016784668
2000,50000,1.0,26.53585958480835
2000,50000,10.0,32.92852020263672
2000,50000,30.0,65.23392701148987
2000,50000,5.0,28.32677125930786
3000,20000,0.1,14.901973009109497
3000,20000,0.5,14.81044054031372
3000,20000,1.0,15.877702474594116
3000,20000,10.0,19.99934720993042
3000,20000,30.0,37.837090253829956
3000,20000,5.0,18.078506469726562
3000,30000,0.1,22.372838497161865
3000,30000,0.5,23.14881420135498
3000,30000,1.0,23.739084482192993
3000,30000,10.0,29.72405767440796
3000,30000,30.0,57.77018213272095
3000,30000,5.0,26.613584280014038
3000,40000,0.1,30.566861629486084
3000,40000,0.5,30.86595320701599
3000,40000,1.0,32.08556628227234
3000,40000,10.0,39.311211347579956
3000,40000,30.0,79.4716944694519
3000,40000,5.0,36.12872338294983
3000,50000,0.1,37.059579372406006
3000,50000,0.5,37.25932741165161
5000,20000,0.1,25.009476900100708
5000,20000,0.5,24.973447799682617
5000,20000,1.0,25.531343698501587
5000,20000,10.0,32.70808506011963
5000,20000,30.0,65.43386459350586
5000,20000,5.0,29.144852876663208
5000,30000,0.1,37.73898911476135
5000,30000,0.5,38.84241223335266
5000,30000,1.0,39.12180280685425
5000,30000,10.0,49.90306067466736
5000,30000,30.0,98.64873361587524
5000,30000,5.0,44.92833685874939
5000,40000,0.1,49.140127420425415
5000,40000,0.5,49.44920992851257
5000,40000,1.0,51.06356883049011
5000,40000,10.0,65.68511271476746
5000,40000,30.0,129.90481519699097
5000,40000,5.0,59.04106283187866
500,20000,0.1,2.566737174987793
500,20000,0.5,2.6953718662261963
500,20000,1.0,2.6745893955230713
500,20000,10.0,3.2409324645996094
500,20000,30.0,6.753358364105225
