,intercept,gene,cell,percent,gene**2,gene*cell,gene*percent,cell**2,cell*percet,percent**2
memory,0.0,-0.04320048503661733,0.35503875701027066,133.66614104279523,1.415103709203305e-05,1.52962652341427e-05,0.004829826225287938,5.074738378476462e-06,-0.01647461663124584,-4.50231143434307
time,0.0,-0.0030397998995564065,0.022725015710010777,5.143599739818599,1.7350893094910503e-07,6.922307789449063e-06,0.00012200645955491863,6.779215066363621e-07,-0.003291694349422849,-0.08891581445375822
