,intercept,gene,cell,percent,gene**2,gene*cell,gene*percent,cell**2,cell*percet,percent**2
memory,64.90103830361637,-0.14015852155014652,-0.0068985102986014474,0.7439604850496978,2.9642598707635415e-05,5.694760389013398e-05,4.672205433001532e-05,2.1799368776775907e-07,-5.4867970722215583e-05,-0.012669978264839277
time,6.938425241184163,-0.02541822522796466,0.005849770763663275,0.19340211403476773,7.544481845084619e-06,1.2121608631019201e-06,-0.00020406291080213117,-8.640947171331681e-08,-6.10681006678931e-05,0.002924991225683641
