,intercept,gene,cell,percent,gene**2,gene*cell,gene*percent,cell**2,cell*percet,percent**2
memory,3.85059527e+01, -2.07428193e-02,  3.88535575e-04, -1.20825079e+01,3.60016241e-07,  1.46660241e-05,  2.50506298e-03, -3.04880769e-08,2.61331814e-04,  1.24450822e-01
time,1.12068964e+01, -3.85861753e-03, -2.63593155e-04, -1.94885430e+00,9.27135025e-08,  3.48370226e-07,  3.84903711e-04, -3.29570701e-10,3.63668853e-05,  2.58543498e-02
