,intercept,gene,cell,percent,gene**2,gene*cell,gene*percent,cell**2,cell*percet,percent**2
memory,-7.92715785e+01, -3.93780599e-02,  2.53659567e-01,  7.06791006e+01,1.74105308e-05,  1.74380772e-05,  7.38363736e-04,  6.42867282e-05,-1.27180532e-02, -2.03988416e+00
time,-3.26404988e+01, -5.24450864e-04,  3.58268991e-03,  2.43827171e+01,9.53964303e-08,  9.82786054e-06,  6.44704782e-05, -1.07122863e-05,6.27759697e-04, -8.91337904e-01
